DATE,investment long,earning long,investment short,earning short,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-10-25,9999.999999999996,10156.537769719123,10000.000000000002,10042.409534785325,47,47,0.0,345,345
2019-10-28,10000.0,9985.696436753267,10000.000000000002,9991.330374171617,47,47,0.0,474,474
2019-10-29,10000.0,10017.23043747457,10000.000000000004,10115.992239333735,49,50,0.0,417,417
2019-10-30,9999.999999999996,10024.23446727723,10000.000000000002,10020.868794353912,45,49,0.0,390,390
2019-10-31,9999.999999999998,10078.458770639614,10000.000000000004,10035.98893257283,48,45,0.0,478,478
2019-11-01,9999.999999999998,10106.806950459999,9999.999999999998,10108.597229990955,50,49,0.0,474,474
2019-11-04,10000.0,10023.579065612254,10000.0,9965.406540246126,46,46,0.0,450,450
2019-11-05,9999.999999999998,9928.433367159947,9999.999999999996,9921.023399103258,48,48,0.0,343,343
2019-11-06,10000.0,10110.808291658699,10000.000000000004,10049.654225280081,48,48,0.0,391,391
2019-11-07,10000.000000000002,9969.90457249364,10000.0,10036.810025297516,48,47,0.0,550,550
2019-11-08,9999.968630347272,9797.105552242776,10000.0,10005.949112547753,46,46,0.0,563,563
2019-11-11,10000.000000000005,10048.038544042844,10000.000000000002,10077.889210256559,48,47,0.0,467,467
2019-11-12,10000.000000000004,9992.085064378307,10000.0,9995.507022559941,48,46,0.0,565,565
2019-11-13,9999.999999999998,10011.606217278197,10000.0,9979.710764100808,48,46,0.0,344,344
2019-11-14,10000.0,10032.681593242698,10000.000000000002,10054.213410701306,45,50,0.0,350,350
2019-11-15,10000.000000000004,10086.820697131237,10000.000000000005,10106.875294203333,48,47,0.0,424,424
2019-11-18,9999.999999999998,9984.946493549962,10000.000000000002,9978.820369742207,44,47,0.0,342,342
2019-11-19,10000.000000000004,9869.74562680411,9999.999999999996,9891.180191409343,49,48,0.0,314,314
2019-11-20,10000.000000000002,9997.55062205831,10000.000000000002,9923.800908851572,47,46,0.0,335,335
2019-11-21,10000.000000000005,10145.299133014933,10000.000000000004,10051.458634107978,49,49,0.0,361,361
2019-11-22,10000.0,10042.832120937564,9999.999999999998,9968.234423873791,48,49,0.0,339,339
2019-11-25,10000.0,10068.095092696034,9999.999999999996,10032.2584208517,45,46,0.0,344,344
2019-11-26,9999.999999999995,10054.842220353548,9999.999999999995,10017.811699669186,45,49,0.0,305,305
2019-11-27,10000.000000000004,10025.877380907134,10000.000000000002,9980.047310271424,46,47,0.0,248,248
2019-11-29,10000.000000000002,9988.912619528646,10000.000000000002,10020.083483589724,42,48,0.0,313,313
2019-12-02,10000.000000000007,9652.86848579166,9999.999999999998,9817.103268569123,45,46,0.0,303,303
2019-12-03,9999.999999999998,10116.507539451266,10000.000000000002,10093.615532009606,49,49,0.0,229,229
2019-12-04,10000.000000000005,10061.489738451826,10000.000000000004,10082.998841783869,42,43,0.0,248,248
2019-12-05,9999.999999999998,10028.92690980742,10000.0,10031.724329189867,43,46,0.0,333,333
2019-12-06,10000.0,10024.376263169683,10000.000000000005,10036.241202092426,47,49,0.0,314,314
2019-12-09,9999.999999999998,10031.409858116112,10000.0,10026.492692923157,44,46,0.0,301,301
2019-12-10,10000.0,10032.147387784631,10000.0,10019.621750197619,46,48,0.0,270,270
2019-12-11,10000.000000000004,10103.526171150354,10000.0,9977.754822213477,46,48,0.0,442,442
2019-12-12,10000.0,10104.090875747352,10000.000000000007,10262.464682333162,48,48,0.0,278,278
2019-12-13,9999.999999999996,10032.873072961387,10000.000000000007,10049.825928833578,47,49,0.0,348,348
2019-12-16,9999.999999999996,10052.843624937115,10000.000000000002,9965.331460332705,47,43,0.0,363,363
2019-12-17,10000.0,9999.987640595065,9999.999999999998,9999.310554125323,47,48,0.0,461,461
2019-12-18,10000.000000000005,9929.70578085076,9999.999999999995,10008.968880584296,48,47,0.0,368,368
2019-12-19,9999.999999999993,10098.20948988997,9999.999999999998,10072.583158238493,48,49,0.0,395,395
2019-12-20,10000.000000000002,9963.883731174466,10000.000000000002,9988.029135758648,47,45,0.0,388,388
2019-12-23,10000.000000000002,10053.158436248097,10000.000000000004,10062.782200433548,40,49,0.0,379,379
2019-12-24,9999.999999999998,10017.769059215958,9999.999999999998,9988.799068671722,46,47,0.0,298,298
2019-12-26,9999.999999999996,10043.805873635736,9999.999999999998,10079.028718890846,46,47,0.0,386,386
2019-12-27,10000.0,9969.550165849058,9999.999999999998,10001.731015843548,43,47,0.0,247,247
2019-12-30,9999.999999999998,9883.387258151006,9999.999999999998,9886.854270736116,50,46,0.0,123,123
2019-12-31,10000.000000000002,10107.790217529426,9999.999999999998,10179.138584176631,46,44,0.0,136,136
2020-01-02,9999.999999999996,9980.503488878925,9999.999999999996,9904.801536800884,45,45,0.0,271,271
2020-01-03,10000.000000000004,9940.366093465822,10000.0,9970.532083351422,46,46,0.0,126,126
2020-01-06,10000.0,10080.957628468092,10000.000000000002,10167.392848602873,45,45,0.0,167,167
2020-01-07,10000.0,9946.020204966479,10000.0,9980.739115746044,49,46,0.0,285,285
2020-01-08,10000.000000000005,10157.469068140537,10000.000000000002,10151.058783900793,47,48,0.0,273,273
2020-01-09,9999.999999999996,10056.308106730703,10000.000000000002,10012.149044311092,49,44,0.0,301,301
2020-01-10,10000.000000000004,9965.090318382607,10000.0,9995.711281477586,45,48,0.0,295,295
2020-01-13,9999.999999999998,9993.965036142148,9999.999999999998,10095.577478206133,45,47,0.0,297,297
2020-01-14,10000.000000000002,10049.955404757995,9999.999999999998,9946.277040177101,44,50,0.0,454,454
2020-01-15,10000.000000000004,10132.22704173932,9999.999999999998,10101.17746024386,45,50,0.0,414,414
2020-01-16,10000.000000000002,10016.208413051709,10000.0,10088.081544379716,50,44,0.0,317,317
2020-01-17,10000.000000000002,9960.681815891252,9999.999999999996,9908.374716534461,46,45,0.0,272,272
2020-01-21,10000.000000000002,10051.757888609143,10000.0,10067.567431180196,48,47,0.0,389,389
2020-01-22,10000.0,9820.32571927204,9999.999999999998,9825.920311875961,47,46,0.0,437,437
2020-01-23,10000.0,10010.703896341824,10000.0,10027.49697988888,48,45,0.0,553,553
2020-01-24,9999.999999999996,9585.92754889622,10000.000000000002,9464.24556283873,50,48,0.0,549,549
2020-01-27,10000.000000000002,10089.853691598337,10000.000000000004,10225.226099458352,47,47,0.0,610,610
2020-01-28,9999.999999999998,10102.412729621536,10000.000000000002,10080.06166975594,47,47,0.0,368,368
2020-01-29,10000.000000000002,9931.56967058412,10000.000000000002,9764.315651882827,49,45,0.0,538,538
2020-01-30,10000.0,9953.989458227421,10000.0,10017.38694780612,47,50,0.0,454,454
2020-01-31,9999.999999999996,9948.908740894878,9999.999999999995,9858.907185612385,48,47,0.0,474,474
2020-02-03,9999.999999999996,10053.500428260715,10000.000000000004,10273.783762870113,48,50,0.0,405,405
2020-02-04,9999.999999999998,10149.313368515051,10000.000000000005,10080.250795627493,46,50,0.0,414,414
